resp_id,date,Agree,Citizenship,age,agegroup,agegroup5,gender,educ,educ5,religiosity,v9,v10,v11,v12,v700,v15,v16,v17,Attention,v19,v701,v20,v702,v21,v36,v703,v708,v18,v704,v27,v28,v29,v30,v31,v33,v35,v45,v52A,v50,v51,v622A,v622B,v622C,v623,v91,v104,v706,v111,v612,v613_1,v613_2,v613_3,v613_4,v613_5,v613_6,v613_7,v613_8,v613_9,v613_10,v613_30,v614_1,v614_2,v614_3,v614_4,v614_5,v614_6,v614_7,v614_8,v110,v710,v119,v120,v121,v122,v123,v125,v126,v127,v128,v129,v130,v400,v401,v402,v403,v409,v410,v411_1,v411_2,v411_3,v411_4,v411_5,v411_6,v411_7,v411_8,v411_9,v411_10,v411_11,v412,v413_1,v413_2,v413_3,v413_4,v413_5,v413_6,v415,v416,v417,v418,v132,v133,v143,v131,v513,v134,v139,sector,DEVICE_TYPE,SURVEY_MODE,w_jews,w_arabs,w_sample,District_CBS
295708,04/03/2025,1,1,,6,5,1,9,5,5,4,5,4,3,2,3,4,1,2,3,4,2,3,4,4,4,10,7,4,,,,,,1,2,3,0,4,7,5,10,6,5,1,97,3,5,5,1,1,,,,,,,,,,1,1,1,,,,,,7,2,4,1,1,4,3,1,2,3,2,3,2,1,5,4,4,1,2,,,1,,,,1,,1,,,9,,1,,,,,3,3,98,98,2,6,1,1,4,,2,1,Mobile,1,0.951,,0.922,4
295709,04/03/2025,1,1,,5,4,1,9,5,5,1,1,2,4,4,4,1,3,2,4,3,1,1,3,4,1,0,7,1,,,,,,1,3,1,8,8,5,8,8,8,4,1,1,1,2,5,1,1,1,,1,,,1,,1,,1,1,,1,,,,,9,5,4,3,4,1,3,4,4,98,3,1,1,1,1,4,2,2,5,,,,1,1,1,,1,,,,8,,,,,1,,4,4,2,4,2,5,1,2,6,,5,1,PC,1,0.647,,0.628,4
295710,04/03/2025,1,1,,2,1,1,5,2,3,5,3,5,3,2,4,3,1,2,2,1,1,2,3,3,3,7,6,3,,,,,,3,2,1,3,4,7,1,7,7,1,2,3,3,4,4,,1,,,,,,,,,,,1,1,,,,,,2,2,2,3,2,3,2,1,1,2,2,2,98,1,2,4,3,1,2,,,1,1,1,,,,,,,4,,1,,,,,98,3,1,1,2,3,1,1,2,2002,3,1,Mobile,1,1.525,,1.479,1
295712,04/03/2025,1,1,,6,5,1,5,2,5,4,3,1,4,4,3,4,1,2,4,1,3,3,4,4,4,10,10,4,,,,,,1,1,1,0,8,8,2,10,2,2,1,7,3,3,5,1,1,1,1,,,,,,,,1,,,,,,,,7,1,4,1,3,3,3,1,2,3,2,3,1,1,5,4,4,1,2,,,1,,1,,,1,,,,2,,1,1,,,,3,3,2,3,1,6,1,2,4,,99,1,Mobile,1,1.419,,1.376,4
295714,04/03/2025,1,1,,5,4,1,2,1,1,3,3,4,4,4,4,1,3,2,3,4,3,3,2,98,1,1,4,3,,,,,,3,3,2,10,7,4,10,9,9,5,1,6,6,3,3,,,,1,,,,,,,,,,,,,,1,,5,4,4,4,98,3,2,3,3,1,1,4,4,2,,4,4,1,5,,,,,,,,1,,,,10,1,,,,,,4,4,2,4,4,1,1,1,4,,2,1,PC,1,0.968,,0.939,5
295717,04/03/2025,1,1,,3,2,1,8,4,1,4,4,2,4,4,2,1,4,2,4,3,3,3,1,1,1,4,1,1,,,,,,2,1,2,7,10,3,10,7,9,1,1,5,5,2,3,1,,,,,,,1,,,,,1,,1,,,,,6,5,3,3,2,3,1,2,2,1,2,3,3,1,2,4,3,1,2,,,,1,1,1,1,,1,,,9,1,,,,,,4,4,3,4,4,1,1,2,5,,2,1,Mobile,1,0.891,,0.865,1
295719,04/03/2025,1,1,44,4,3,1,8,4,4,2,4,4,4,4,2,1,4,2,4,3,2,1,1,3,3,10,0,2,,,,,,3,1,1,7,6,3,6,6,9,2,1,1,1,2,4,1,1,1,,1,1,1,1,1,,,,,,,,,1,,6,4,3,2,1,3,3,2,2,2,3,3,98,1,3,4,3,98,2,,,,1,1,,,1,,,,8,1,,,,,,4,4,3,3,2,5,1,3,5,,2,1,Mobile,1,1.015,,0.984,2
295722,04/03/2025,1,1,,2,1,1,5,2,2,4,3,2,4,4,1,3,4,2,4,3,2,2,1,1,1,7,3,1,,,,,,1,1,1,10,5,5,9,9,10,1,1,4,4,1,4,1,1,,,,,,,,,,,,,1,,,,,8,5,4,1,2,1,2,3,2,1,4,3,2,2,,4,4,2,5,,,,,,1,,1,,,,1,1,,,,,,4,4,3,4,4,1,1,1,4,,3,1,Mobile,1,1.505,,1.46,4
295724,04/03/2025,1,1,,4,3,2,8,4,1,4,4,3,4,4,1,3,4,2,4,3,3,4,2,2,2,9,2,2,,,,,,2,3,2,9,9,5,9,5,8,3,3,98,5,3,4,1,,1,,,,,,,,,,,,,,,,1,4,4,3,2,2,3,2,3,3,2,2,3,3,2,,4,4,98,4,,,,1,1,,,1,,,,8,1,,,,,,4,4,3,4,4,2,1,2,5,,3,1,PC,1,0.966,,0.937,1
295726,04/03/2025,1,1,,3,2,2,7,3,5,5,4,5,4,4,3,1,4,2,4,2,2,2,4,4,3,8,10,3,,,,,,3,1,2,2,6,8,1,10,5,5,1,3,11,5,4,1,1,1,,1,1,,,,,,1,1,,,,,,,1,1,3,1,98,98,1,1,1,3,2,3,3,2,,4,4,1,3,1,,1,,,,,1,,,,6,,1,,,,,3,98,1,3,1,6,1,4,4,,5,1,Mobile,1,0.617,,0.599,5
295732,04/03/2025,1,1,,2,1,2,4,1,1,98,2,3,4,4,1,2,4,2,4,4,98,98,98,2,98,5,0,1,,,,,,98,98,2,5,10,98,10,98,10,98,1,6,6,98,4,1,,,1,,,,,,,,,,,,,,1,,98,98,98,98,98,98,98,98,98,98,98,98,98,99,,4,2,98,98,,,,,,,,,,,1,5,,,,,,1,98,98,98,98,4,99,1,1,4,,99,1,PC,1,1.092,,1.06,6
295734,04/03/2025,1,1,51,5,4,1,6,3,4,4,4,3,4,4,1,2,4,2,3,3,98,3,4,3,2,5,7,1,,,,,,2,2,2,7,10,0,5,5,9,2,2,97,3,1,3,1,,,,,,,,,,,,1,,1,,,,,5,5,3,2,3,2,1,3,2,1,2,3,1,2,,4,4,1,4,,,1,,1,1,,,,,,8,1,,,,,,4,2,3,4,2,5,1,2,4,,2,1,Mobile,1,0.619,,0.601,4
295736,04/03/2025,1,1,,2,1,1,8,4,4,5,4,4,4,4,2,3,4,2,2,3,3,4,3,4,3,5,9,98,,,,,,2,2,2,0,7,5,2,8,8,3,2,97,7,4,3,1,1,,,,,,,,,,1,1,,,,,,,1,1,3,1,1,3,1,1,1,2,2,3,2,1,5,4,2,1,2,,,,1,1,1,,1,1,,,3,1,,,,,,4,2,2,4,3,4,1,3,4,,2,1,Mobile,1,0.96,,0.932,4
295739,04/03/2025,1,1,,3,2,1,9,5,2,4,2,4,3,3,1,3,4,2,3,1,2,1,4,3,3,4,4,2,,,,,,2,4,2,3,5,5,3,7,7,4,1,3,3,3,4,1,1,1,1,1,1,1,,,1,,1,1,1,,,,,,2,3,3,1,2,4,3,1,1,2,1,3,3,1,4,4,4,1,3,,1,1,,,,1,,,,,6,1,,,,,,3,3,3,3,3,2,1,1,4,,4,1,Mobile,1,0.96,,0.931,4
295741,04/03/2025,1,1,,4,3,2,7,3,5,5,5,3,2,1,4,3,2,2,2,1,2,3,4,4,4,8,9,5,,,,,,3,3,2,1,5,8,4,8,5,5,1,8,9,6,4,1,1,,,,,,,,,,,1,,,,,,,4,1,3,3,2,4,3,1,2,3,2,2,2,2,,4,2,1,3,,,1,,1,,1,,,,,0,1,,,,,,2,3,2,1,2,6,1,3,5,,3,1,Mobile,1,0.686,,0.665,2
295744,04/03/2025,1,1,,5,4,1,6,3,5,5,4,4,3,4,2,3,4,2,4,1,4,4,4,4,4,10,10,3,,,,,,2,2,2,1,5,5,5,7,5,4,1,3,2,4,2,,1,1,,,,,,,,,1,1,,,,,,,2,1,3,1,2,3,4,1,1,4,2,4,1,2,,4,3,1,2,,,1,,,,,,,,,5,1,,,,,,3,2,3,3,2,5,1,2,5,,4,1,Mobile,1,0.575,,0.558,5
295745,04/03/2025,1,1,,4,3,2,6,3,5,5,3,5,98,4,4,3,2,2,98,2,98,4,4,4,3,10,10,5,,,,,,3,3,3,0,98,98,98,10,98,98,2,2,3,7,5,1,,,,,,,,,,,,,,,,,1,,1,98,98,3,3,4,1,1,1,1,2,2,2,1,2,4,3,1,1,,,,,,,,,,,1,0,1,,,,,,4,4,4,4,1,6,1,1,4,,3,1,Mobile,1,0.686,,0.665,4
295746,04/03/2025,1,1,,4,3,1,5,2,5,5,4,1,4,4,1,2,3,2,4,4,2,3,2,2,3,9,5,5,,,,,,1,1,2,3,8,8,3,5,8,5,1,97,2,2,5,1,1,1,,,,,,,,,1,,,,,,,,2,2,3,1,2,4,3,2,2,2,2,2,2,2,,4,3,1,3,,,1,1,1,1,,1,1,,,8,1,,,,,,4,4,2,3,2,6,1,4,4,,5,1,PC,1,1.179,,1.144,4
295748,04/03/2025,1,1,36,3,2,1,8,4,2,2,2,3,1,4,2,1,3,2,4,3,1,1,2,1,1,4,0,1,,,,,,2,1,3,8,10,3,5,9,10,0,1,30,4,1,4,,,,,,,,,1,,,,,,1,,,,,4,5,3,3,4,1,1,2,2,1,3,3,1,2,,3,4,2,3,,,,,,1,,,,,,10,1,,,,,,4,4,4,4,3,1,1,3,4,,4,1,PC,1,1.144,,1.11,9
295749,04/03/2025,1,1,,4,3,1,4,1,5,5,4,2,3,3,2,1,3,2,4,1,3,3,3,2,2,3,5,1,,,,,,2,2,3,7,7,4,5,7,5,1,2,1,1,1,4,1,1,,,,,,,1,,,,1,,,,,,,6,4,4,3,2,2,3,3,2,2,2,4,4,1,1,4,4,1,3,,,,1,,,,,,,,6,1,,,,,,4,3,3,2,2,5,1,2,4,,4,1,Mobile,1,1.126,,1.092,4
295750,04/03/2025,1,1,,4,3,1,8,4,2,4,2,1,4,3,1,2,4,2,4,3,2,3,4,4,4,5,2,4,,,,,,3,3,3,10,5,5,5,5,5,5,2,11,9,5,4,,,,,,,,,1,,,,,,1,,,,,8,4,3,3,3,2,1,3,2,2,3,2,3,2,,1,3,1,3,,,,1,,1,,1,,,,5,1,,,,,,3,4,4,4,3,2,1,2,5,,2,1,Mobile,1,1.271,,1.233,5
